threshold=(0, 0), ssim=0.991262, orig=131928, zlib=9646, bz2=7854, lzma=7884, jpeg=22242
threshold=(0, 10), ssim=0.991262, orig=131928, zlib=9646, bz2=7854, lzma=7884, jpeg=22242
threshold=(0, 20), ssim=0.991262, orig=131928, zlib=9646, bz2=7854, lzma=7884, jpeg=22242
threshold=(0, 30), ssim=0.991262, orig=131928, zlib=9646, bz2=7854, lzma=7884, jpeg=22242
threshold=(0, 40), ssim=0.991262, orig=131928, zlib=9646, bz2=7854, lzma=7884, jpeg=22242
threshold=(0, 50), ssim=0.991262, orig=131928, zlib=9646, bz2=7854, lzma=7884, jpeg=22242
threshold=(0, 60), ssim=0.991233, orig=131928, zlib=9613, bz2=7805, lzma=7832, jpeg=22227
threshold=(0, 70), ssim=0.988140, orig=131928, zlib=9320, bz2=7609, lzma=7568, jpeg=22024
threshold=(0, 80), ssim=0.979059, orig=131928, zlib=8604, bz2=7106, lzma=7036, jpeg=21516
threshold=(0, 90), ssim=0.967065, orig=131928, zlib=7343, bz2=5963, lzma=5964, jpeg=20598
threshold=(0, 100), ssim=0.953855, orig=131928, zlib=5463, bz2=4156, lzma=4404, jpeg=19246
threshold=(10, 10), ssim=0.991262, orig=131928, zlib=9646, bz2=7854, lzma=7884, jpeg=22242
threshold=(10, 20), ssim=0.991262, orig=131928, zlib=9646, bz2=7854, lzma=7884, jpeg=22242
threshold=(10, 30), ssim=0.991262, orig=131928, zlib=9646, bz2=7854, lzma=7884, jpeg=22242
threshold=(10, 40), ssim=0.991262, orig=131928, zlib=9646, bz2=7854, lzma=7884, jpeg=22242
threshold=(10, 50), ssim=0.991262, orig=131928, zlib=9646, bz2=7854, lzma=7884, jpeg=22242
threshold=(10, 60), ssim=0.991233, orig=131928, zlib=9613, bz2=7805, lzma=7832, jpeg=22227
threshold=(10, 70), ssim=0.988140, orig=131928, zlib=9320, bz2=7609, lzma=7568, jpeg=22024
