threshold=(0, 0), ssim=0.993514, orig=131928, zlib=10792, bz2=8923, lzma=8900, jpeg=23183
threshold=(0, 10), ssim=0.993514, orig=131928, zlib=10792, bz2=8923, lzma=8900, jpeg=23183
threshold=(0, 20), ssim=0.993514, orig=131928, zlib=10792, bz2=8923, lzma=8900, jpeg=23183
threshold=(0, 30), ssim=0.993514, orig=131928, zlib=10792, bz2=8923, lzma=8900, jpeg=23183
threshold=(0, 40), ssim=0.993514, orig=131928, zlib=10792, bz2=8923, lzma=8900, jpeg=23183
threshold=(0, 50), ssim=0.993514, orig=131928, zlib=10792, bz2=8923, lzma=8900, jpeg=23183
threshold=(0, 60), ssim=0.993522, orig=131928, zlib=10734, bz2=8916, lzma=8848, jpeg=23162
threshold=(0, 70), ssim=0.990311, orig=131928, zlib=10475, bz2=8756, lzma=8624, jpeg=22925
threshold=(0, 80), ssim=0.982361, orig=131928, zlib=9832, bz2=8269, lzma=8108, jpeg=22390
threshold=(0, 90), ssim=0.973241, orig=131928, zlib=8551, bz2=7074, lzma=7044, jpeg=21429
threshold=(0, 100), ssim=0.961624, orig=131928, zlib=6868, bz2=5361, lzma=5608, jpeg=20254
threshold=(10, 10), ssim=0.993514, orig=131928, zlib=10792, bz2=8923, lzma=8900, jpeg=23183
threshold=(10, 20), ssim=0.993514, orig=131928, zlib=10792, bz2=8923, lzma=8900, jpeg=23183
threshold=(10, 30), ssim=0.993514, orig=131928, zlib=10792, bz2=8923, lzma=8900, jpeg=23183
threshold=(10, 40), ssim=0.993514, orig=131928, zlib=10792, bz2=8923, lzma=8900, jpeg=23183
threshold=(10, 50), ssim=0.993514, orig=131928, zlib=10792, bz2=8923, lzma=8900, jpeg=23183
threshold=(10, 60), ssim=0.993522, orig=131928, zlib=10734, bz2=8916, lzma=8848, jpeg=23162
threshold=(10, 70), ssim=0.990311, orig=131928, zlib=10475, bz2=8756, lzma=8624, jpeg=22925
threshold=(10, 80), ssim=0.982361, orig=131928, zlib=9832, bz2=8269, lzma=8108, jpeg=22390
threshold=(10, 90), ssim=0.973241, orig=131928, zlib=8551, bz2=7074, lzma=7044, jpeg=21429
threshold=(10, 100), ssim=0.961624, orig=131928, zlib=6868, bz2=5361, lzma=5608, jpeg=20254
threshold=(20, 20), ssim=0.993514, orig=131928, zlib=10792, bz2=8923, lzma=8900, jpeg=23183
threshold=(20, 30), ssim=0.993514, orig=131928, zlib=10792, bz2=8923, lzma=8900, jpeg=23183
threshold=(20, 40), ssim=0.993514, orig=131928, zlib=10792, bz2=8923, lzma=8900, jpeg=23183
