threshold=(0, 0), ssim=0.932050, orig=131736, zlib=7808, bz2=6306, lzma=6324, jpeg=21202
threshold=(0, 10), ssim=0.932050, orig=131736, zlib=7808, bz2=6306, lzma=6324, jpeg=21202
threshold=(0, 20), ssim=0.932050, orig=131736, zlib=7808, bz2=6306, lzma=6324, jpeg=21202
threshold=(0, 30), ssim=0.932050, orig=131736, zlib=7808, bz2=6306, lzma=6324, jpeg=21202
threshold=(0, 40), ssim=0.932050, orig=131736, zlib=7808, bz2=6306, lzma=6324, jpeg=21202
threshold=(0, 50), ssim=0.932050, orig=131736, zlib=7808, bz2=6306, lzma=6324, jpeg=21202
threshold=(0, 60), ssim=0.932050, orig=131736, zlib=7808, bz2=6306, lzma=6324, jpeg=21202
threshold=(0, 70), ssim=0.931958, orig=131736, zlib=7780, bz2=6322, lzma=6300, jpeg=21182
threshold=(0, 80), ssim=0.925664, orig=131736, zlib=7303, bz2=5980, lzma=5904, jpeg=20744
threshold=(0, 90), ssim=0.918321, orig=131736, zlib=6262, bz2=5130, lzma=5100, jpeg=19971
threshold=(0, 100), ssim=0.905723, orig=131736, zlib=4533, bz2=3485, lzma=3684, jpeg=18745
threshold=(10, 10), ssim=0.932050, orig=131736, zlib=7808, bz2=6306, lzma=6324, jpeg=21202
threshold=(10, 20), ssim=0.932050, orig=131736, zlib=7808, bz2=6306, lzma=6324, jpeg=21202
threshold=(10, 30), ssim=0.932050, orig=131736, zlib=7808, bz2=6306, lzma=6324, jpeg=21202
threshold=(10, 40), ssim=0.932050, orig=131736, zlib=7808, bz2=6306, lzma=6324, jpeg=21202
threshold=(10, 50), ssim=0.932050, orig=131736, zlib=7808, bz2=6306, lzma=6324, jpeg=21202
threshold=(10, 60), ssim=0.932050, orig=131736, zlib=7808, bz2=6306, lzma=6324, jpeg=21202
threshold=(10, 70), ssim=0.931958, orig=131736, zlib=7780, bz2=6322, lzma=6300, jpeg=21182
threshold=(10, 80), ssim=0.925664, orig=131736, zlib=7303, bz2=5980, lzma=5904, jpeg=20744
threshold=(10, 90), ssim=0.918321, orig=131736, zlib=6262, bz2=5130, lzma=5100, jpeg=19971
threshold=(10, 100), ssim=0.905723, orig=131736, zlib=4533, bz2=3485, lzma=3684, jpeg=18745
threshold=(20, 20), ssim=0.932050, orig=131736, zlib=7808, bz2=6306, lzma=6324, jpeg=21202
threshold=(20, 30), ssim=0.932050, orig=131736, zlib=7808, bz2=6306, lzma=6324, jpeg=21202
threshold=(20, 40), ssim=0.932050, orig=131736, zlib=7808, bz2=6306, lzma=6324, jpeg=21202
threshold=(20, 50), ssim=0.932050, orig=131736, zlib=7808, bz2=6306, lzma=6324, jpeg=21202
threshold=(20, 60), ssim=0.932050, orig=131736, zlib=7808, bz2=6306, lzma=6324, jpeg=21202
threshold=(20, 70), ssim=0.931958, orig=131736, zlib=7780, bz2=6322, lzma=6300, jpeg=21182
threshold=(20, 80), ssim=0.925664, orig=131736, zlib=7303, bz2=5980, lzma=5904, jpeg=20744
threshold=(20, 90), ssim=0.918321, orig=131736, zlib=6262, bz2=5130, lzma=5100, jpeg=19971
threshold=(20, 100), ssim=0.905723, orig=131736, zlib=4533, bz2=3485, lzma=3684, jpeg=18745
threshold=(30, 30), ssim=0.932050, orig=131736, zlib=7808, bz2=6306, lzma=6324, jpeg=21202
threshold=(30, 40), ssim=0.932050, orig=131736, zlib=7808, bz2=6306, lzma=6324, jpeg=21202
threshold=(30, 50), ssim=0.932050, orig=131736, zlib=7808, bz2=6306, lzma=6324, jpeg=21202
threshold=(30, 60), ssim=0.932050, orig=131736, zlib=7808, bz2=6306, lzma=6324, jpeg=21202
threshold=(30, 70), ssim=0.931958, orig=131736, zlib=7780, bz2=6322, lzma=6300, jpeg=21182
threshold=(30, 80), ssim=0.925664, orig=131736, zlib=7303, bz2=5980, lzma=5904, jpeg=20744
threshold=(30, 90), ssim=0.918321, orig=131736, zlib=6262, bz2=5130, lzma=5100, jpeg=19971
threshold=(30, 100), ssim=0.905723, orig=131736, zlib=4533, bz2=3485, lzma=3684, jpeg=18745
threshold=(40, 40), ssim=0.932050, orig=131736, zlib=7808, bz2=6306, lzma=6324, jpeg=21202
threshold=(40, 50), ssim=0.932050, orig=131736, zlib=7808, bz2=6306, lzma=6324, jpeg=21202
threshold=(40, 60), ssim=0.932050, orig=131736, zlib=7808, bz2=6306, lzma=6324, jpeg=21202
threshold=(40, 70), ssim=0.931958, orig=131736, zlib=7780, bz2=6322, lzma=6300, jpeg=21182
threshold=(40, 80), ssim=0.925664, orig=131736, zlib=7303, bz2=5980, lzma=5904, jpeg=20744
threshold=(40, 90), ssim=0.918321, orig=131736, zlib=6262, bz2=5130, lzma=5100, jpeg=19971
threshold=(40, 100), ssim=0.905723, orig=131736, zlib=4533, bz2=3485, lzma=3684, jpeg=18745
threshold=(50, 50), ssim=0.932050, orig=131736, zlib=7808, bz2=6306, lzma=6324, jpeg=21202
threshold=(50, 60), ssim=0.932050, orig=131736, zlib=7808, bz2=6306, lzma=6324, jpeg=21202
threshold=(50, 70), ssim=0.931958, orig=131736, zlib=7780, bz2=6322, lzma=6300, jpeg=21182
threshold=(50, 80), ssim=0.925664, orig=131736, zlib=7303, bz2=5980, lzma=5904, jpeg=20744
threshold=(50, 90), ssim=0.918321, orig=131736, zlib=6262, bz2=5130, lzma=5100, jpeg=19971
threshold=(50, 100), ssim=0.905723, orig=131736, zlib=4533, bz2=3485, lzma=3684, jpeg=18745
threshold=(60, 60), ssim=0.932050, orig=131736, zlib=7808, bz2=6306, lzma=6324, jpeg=21202
threshold=(60, 70), ssim=0.931958, orig=131736, zlib=7780, bz2=6322, lzma=6300, jpeg=21182
threshold=(60, 80), ssim=0.925664, orig=131736, zlib=7303, bz2=5980, lzma=5904, jpeg=20744
threshold=(60, 90), ssim=0.918321, orig=131736, zlib=6262, bz2=5130, lzma=5100, jpeg=19971
threshold=(60, 100), ssim=0.905723, orig=131736, zlib=4533, bz2=3485, lzma=3684, jpeg=18745
threshold=(70, 70), ssim=0.931276, orig=131688, zlib=7739, bz2=6249, lzma=6276, jpeg=21142
threshold=(70, 80), ssim=0.924985, orig=131688, zlib=7281, bz2=5962, lzma=5876, jpeg=20711
threshold=(70, 90), ssim=0.917651, orig=131688, zlib=6233, bz2=5123, lzma=5088, jpeg=19941
threshold=(70, 100), ssim=0.905053, orig=131688, zlib=4506, bz2=3457, lzma=3676, jpeg=18714
threshold=(80, 80), ssim=0.913747, orig=131480, zlib=6737, bz2=5490, lzma=5472, jpeg=20396
threshold=(80, 90), ssim=0.906431, orig=131480, zlib=5733, bz2=4751, lzma=4692, jpeg=19636
threshold=(80, 100), ssim=0.893913, orig=131480, zlib=4011, bz2=3103, lzma=3280, jpeg=18396
threshold=(90, 90), ssim=0.896298, orig=131280, zlib=4990, bz2=4114, lzma=4148, jpeg=19183
threshold=(90, 100), ssim=0.883774, orig=131280, zlib=3312, bz2=2573, lzma=2760, jpeg=17922
threshold=(100, 100), ssim=0.885485, orig=131072, zlib=2003, bz2=1443, lzma=1804, jpeg=17153
