Epoch 1, Train Loss: 110598480.0000, Valid Loss: 547113.1875, SSIM MAE: 1.1501, Size MAE: 0.5643, Best Vloss: inf, Best SSIM MAE: inf, Best Size MAE: inf
Epoch 2, Train Loss: 22542896.0000, Valid Loss: 161994.0156, SSIM MAE: 1.0329, Size MAE: 0.2485, Best Vloss: 547113.1875, Best SSIM MAE: 1.150060, Best Size MAE: 0.564321
Epoch 3, Train Loss: 13834381.0000, Valid Loss: 94502.6484, SSIM MAE: 1.0093, Size MAE: 0.1732, Best Vloss: 161994.0156, Best SSIM MAE: 1.032914, Best Size MAE: 0.248490
Epoch 4, Train Loss: 10963235.0000, Valid Loss: 61192.0898, SSIM MAE: 0.9982, Size MAE: 0.1296, Best Vloss: 94502.6484, Best SSIM MAE: 1.009326, Best Size MAE: 0.173249
Epoch 5, Train Loss: 8541057.0000, Valid Loss: 41836.9688, SSIM MAE: 0.9917, Size MAE: 0.0987, Best Vloss: 61192.0898, Best SSIM MAE: 0.998158, Best Size MAE: 0.129630
Epoch 6, Train Loss: 7256508.5000, Valid Loss: 29711.3477, SSIM MAE: 0.9865, Size MAE: 0.0805, Best Vloss: 41836.9688, Best SSIM MAE: 0.991661, Best Size MAE: 0.098727
Epoch 7, Train Loss: 7147237.5000, Valid Loss: 21274.1680, SSIM MAE: 0.9826, Size MAE: 0.0675, Best Vloss: 29711.3477, Best SSIM MAE: 0.986531, Best Size MAE: 0.080544
Epoch 8, Train Loss: 6256126.0000, Valid Loss: 15401.7842, SSIM MAE: 0.9794, Size MAE: 0.0574, Best Vloss: 21274.1680, Best SSIM MAE: 0.982624, Best Size MAE: 0.067535
Epoch 9, Train Loss: 5342972.0000, Valid Loss: 11604.7510, SSIM MAE: 0.9767, Size MAE: 0.0512, Best Vloss: 15401.7842, Best SSIM MAE: 0.979401, Best Size MAE: 0.057449
Epoch 10, Train Loss: 4387876.0000, Valid Loss: 8728.2119, SSIM MAE: 0.9743, Size MAE: 0.0455, Best Vloss: 11604.7510, Best SSIM MAE: 0.976709, Best Size MAE: 0.051175
Epoch 11, Train Loss: 4527978.0000, Valid Loss: 6344.1206, SSIM MAE: 0.9719, Size MAE: 0.0405, Best Vloss: 8728.2119, Best SSIM MAE: 0.974329, Best Size MAE: 0.045543
Epoch 12, Train Loss: 3890986.0000, Valid Loss: 4688.3496, SSIM MAE: 0.9694, Size MAE: 0.0364, Best Vloss: 6344.1206, Best SSIM MAE: 0.971902, Best Size MAE: 0.040471
Epoch 13, Train Loss: 4109666.2500, Valid Loss: 3638.4177, SSIM MAE: 0.9667, Size MAE: 0.0339, Best Vloss: 4688.3496, Best SSIM MAE: 0.969417, Best Size MAE: 0.036439
Epoch 14, Train Loss: 3486289.0000, Valid Loss: 2916.3047, SSIM MAE: 0.9640, Size MAE: 0.0317, Best Vloss: 3638.4177, Best SSIM MAE: 0.966749, Best Size MAE: 0.033925
Epoch 15, Train Loss: 3356043.0000, Valid Loss: 2506.6492, SSIM MAE: 0.9613, Size MAE: 0.0307, Best Vloss: 2916.3047, Best SSIM MAE: 0.964049, Best Size MAE: 0.031728
Epoch 16, Train Loss: 3309935.0000, Valid Loss: 2190.2805, SSIM MAE: 0.9585, Size MAE: 0.0299, Best Vloss: 2506.6492, Best SSIM MAE: 0.961263, Best Size MAE: 0.030680
Epoch 17, Train Loss: 3151865.2500, Valid Loss: 1904.0933, SSIM MAE: 0.9557, Size MAE: 0.0290, Best Vloss: 2190.2805, Best SSIM MAE: 0.958476, Best Size MAE: 0.029895
Epoch 18, Train Loss: 2951220.7500, Valid Loss: 1655.2516, SSIM MAE: 0.9528, Size MAE: 0.0282, Best Vloss: 1904.0933, Best SSIM MAE: 0.955656, Best Size MAE: 0.029029
Epoch 19, Train Loss: 2635288.5000, Valid Loss: 1507.2454, SSIM MAE: 0.9498, Size MAE: 0.0277, Best Vloss: 1655.2516, Best SSIM MAE: 0.952835, Best Size MAE: 0.028179
Epoch 20, Train Loss: 2307866.2500, Valid Loss: 1402.9391, SSIM MAE: 0.9468, Size MAE: 0.0274, Best Vloss: 1507.2454, Best SSIM MAE: 0.949834, Best Size MAE: 0.027659
Epoch 21, Train Loss: 2822153.5000, Valid Loss: 1234.5797, SSIM MAE: 0.9437, Size MAE: 0.0272, Best Vloss: 1402.9391, Best SSIM MAE: 0.946781, Best Size MAE: 0.027432
Epoch 22, Train Loss: 2556723.5000, Valid Loss: 1140.5281, SSIM MAE: 0.9404, Size MAE: 0.0273, Best Vloss: 1234.5797, Best SSIM MAE: 0.943686, Best Size MAE: 0.027227
Epoch 23, Train Loss: 2196490.5000, Valid Loss: 1065.1558, SSIM MAE: 0.9370, Size MAE: 0.0273, Best Vloss: 1140.5281, Best SSIM MAE: 0.940411, Best Size MAE: 0.027227
Epoch 24, Train Loss: 2288337.7500, Valid Loss: 1006.2165, SSIM MAE: 0.9336, Size MAE: 0.0273, Best Vloss: 1065.1558, Best SSIM MAE: 0.937002, Best Size MAE: 0.027227
Epoch 25, Train Loss: 1966238.5000, Valid Loss: 966.8870, SSIM MAE: 0.9300, Size MAE: 0.0274, Best Vloss: 1006.2165, Best SSIM MAE: 0.933579, Best Size MAE: 0.027227
Epoch 26, Train Loss: 2123253.0000, Valid Loss: 936.6542, SSIM MAE: 0.9264, Size MAE: 0.0275, Best Vloss: 966.8870, Best SSIM MAE: 0.930035, Best Size MAE: 0.027227
Epoch 27, Train Loss: 1952159.6250, Valid Loss: 912.1559, SSIM MAE: 0.9228, Size MAE: 0.0277, Best Vloss: 936.6542, Best SSIM MAE: 0.926423, Best Size MAE: 0.027227
